stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
AL,Birmingham,212237,20.6,45.2,12.1,22.2,38.1,42,41.8
AL,Hoover,81619,11.8,31.4,9.2,13.2,24,28.4,32.8
AL,Huntsville,180105,16.6,36.9,10.8,19,30.7,36.2,38.3
AL,Mobile,195111,18.5,41.2,11.5,21.2,35.7,38.2,39.7
AL,Montgomery,205764,19.1,41.8,11.4,21.4,35.1,39,38.1
AL,Tuscaloosa,90468,17.4,42.9,11.2,20.6,35.4,41.1,41
AK,Anchorage,291826,12.9,30.3,8.9,17.2,21.4,34.1,30.7
AZ,Avondale,76238,20.4,29.3,10.3,17.2,28.3,31.5,37.3
AZ,Chandler,236123,12.4,25.6,9.8,13.9,21.3,25.9,34.4
AZ,Gilbert,208453,10.4,24.7,9.7,13.5,19.6,25,33.6
AZ,Glendale,226721,18.9,29.1,10.7,18.5,27.9,31,37.1
AZ,Mesa,439041,16,27.9,10.6,17.7,25.4,29.7,36
AZ,Peoria,154065,12.9,26.1,10.2,15.7,22.4,27.1,34.8
AZ,Phoenix,1445632,19.8,29,10.5,17.8,27.5,31,36.8
AZ,Scottsdale,217385,9.1,24.1,9.7,12.4,18.2,24.5,32.3
AZ,Surprise,117517,13.7,26.5,10.3,16.3,22.9,27.7,35.3
AZ,Tempe,161719,13.2,27.4,10.1,15.8,23.2,28.6,35.3
AZ,Tucson,520116,18.4,28.9,10.1,19.7,26.9,29.7,34.6
AZ,Yuma,93064,22.6,29.6,9.8,17,27.2,37.4,31.8
AR,Fayetteville,73580,10.4,34.7,8.9,19.1,28,30.9,34.5
AR,Fort Smith,86209,16.6,36.5,9.9,25.3,37.6,33.9,35.4
AR,Jonesboro,67263,12,35.1,9.8,21.6,33.7,34.7,32.7
AR,Little Rock,193524,12.7,38,9.7,19.4,31.3,34.2,36.4
AR,Springdale,69797,19.2,35.8,9.3,22.3,34.2,33.2,36.3
